ID,Name,Gattung,Habitat,Temperatur,Anzahl,Geblueht
5,Vanda denisoniana,Vanda,,,1,
6,Vanda coerulea,Vanda,,,1,
7,Rhynchostylis gigantea var. harrisonianum,Rhynchostylis,,,1,
8,Aerides houlletiana,Aerides,,,1,
9,Dendrobium aphyllum,Dendrobium,,,1,
10,Papilionanthe vandarum,Papilionanthe,,,1,
11,Rodriguezia lanceolata,Rodriguezia,,,1,
12,Bulbophyllum medusae,Bulbophyllum,,,1,
13,Bulbophyllum rothschildianum,Bulbophyllum,,,1,
14,Bulbophyllum sumatranum,Bulbophyllum,,,1,
15,Aerangis kirkii,Aerangis,,,1,
16,Psychopsiella limminhgei ,Psychopsiella,,,1,
17,Bulbophyllum fascinator,Bulbophyllum,,,1,
18,Bulbophyllum macranthum,Bulbophyllum,,,1,
19,Bulbophyllum grandiflorum,Bulbophyllum,,,1,
20,Bulbophyllum graveolens,Bulbophyllum,,,1,
21,Stanhopea wardii,Stanhopea,,,0,
22,Trichopilia apache,Trichopilia,,,1,
23,Trichopilia marginata,Trichopilia,,,1,
24,Oncidium Hybrid,Oncidium,,,1,
25,Ascocentrum miniatum x Doritis pulcherrima,Ascocentrum,,,2,
26,Wuttipanara manoonya,Wuttipanara,,,1,
27,Coelogyne cristata,Coelogyne,,,1,
28,Stanhopea graveolens,Stanhopea,,,1,
29,Stanhopea tigrina,Stanhopea,,,1,
30,Maxillaria variabilis,Maxillaria,,,1,
31,Maxillaria tenuifolia,Maxillaria,,,1,
32,Dendrobium kingianum,Dendrobium ,,,4,
35,Brassia Hybrid,Brassia,,,1,
37,Rossioglossum Rawdon Jester,Rossioglossum,,,1,
38,Brassia (gross),Brassia,,,1,
39,Miltonia Honolulu I,Miltonia,,,3,
41,Dendrobium smillieae,Dendrobium,,,1,
42,Dendrobium spectabile x aberans,Dendrobium,,,1,
43,Bulbophyllum lobbii,Bulbophyllum,,,1,
44,Masdevalia Hybrid (gelb),Masdevalia,,,1,
46,Dendrochilum latifolium var macranthum,Dendrochilum,,,1,
47,Dendrobium speciosum,Dendrobium,,,1,
48,Zygopetalum Hybrid,Zygopetalum,,,1,
49,Catasetum fimbriatum,Catasetum,,,0,
50,Gongora galeata,Gongora,,,1,
51,Catasetum tenebrosum,Catasetum,,,1,
52,Encyclia mariae,Encyclia,,,1,
53,Brassavola nodosa,Brassavola,,,1,
55,Oncidium sharry baby,Oncidium,,,2,
56,Phalaenopsis Hybrid - Mutti,Phalaenopsis,,,1,
57,Phalaenopsis Hybrid - Martha,Phalaenopsis,,,1,
58,Phalaenopsis gigantea,Phalaenopsis,,,1,
59,Phalaenopsis tetraspis,Phalaenopsis,,,1,
60,Phalaenopsis violacea,Phalaenopsis,,,1,
61,Phalaenopsis cornu-cervi,Phalaenopsis,,,1,
62,Phalaenopsis equstris,Phalaenopsis,,,1,
63,Phalaenopsis mannii black,Phalaenopsis,,,1,
64,Sedirea japonica,sedirea,,,1,
65,Phalaenopsis violacea red,phalaenopsis,,,1,
66,Phalaenopsis liodoro,Phalaenopsis,,,1,
67,Grammatophyllum tiger,Grammatophyllum,,,1,
68,Coelogyne dayana,Coelogyne,,,1,
69,Dendrobium findlayanum,Dendrobium,,,1,
70,Rhyncholaelia aristocrat,Rhyncholaelia,,,1,
71,Dendrobium Arco Pearl,Dendrobium,,,6,
72,Cattleya rex,Cattleya,,,1,
73,Laelia tenebrosa,Laelia,,,1,
74,Cattleya dowiana,Cattleya,,,1,
75,Cattleya varut x mari's song,Cattleya,,,1,
76,Phalaenopsis Hyprid - Sonja,Phalaenopsis,,,1,
77,Encyclia cochleata,Encyclia,,,1,
82,Dendrobium thyrsiflorum,Dendrobium,,,1,
83,Dendrobium Touch of Gold,Dendrobium,,,1,
84,Ludisia discolor,Ludisia,,,1,
85,Psychopsis mariposa,Psychopsis,,,1,
86,Psychopsis kalihi,Psychopsis,,,1,
87,Paphiopedilum maudiae vinicolor,Paphiopedilum,,,1,
88,Paphiopedilum Hybrid I,Paphiopedilum,,,1,
89,Paphiopedilum primulinum,Paphiopedilum,,,1,
90,Phragmipedium caudatum,Phragmipedium,,,1,
91,Phragmipedium warscewiczianum,Phragmipedium,,,1,
92,Paphiopedilum chamberlainianum,Paphiopedilum,,,1,
93,Paphiopedilum leucochilum,Paphiopedilum,,,1,
94,Paphiopedilum Hybrid II,Paphiopedilum,,,1,
95,Paphiopedilum lowii,Paphiopedilum,,,1,
96,Paphiopedilum callosum,Paphiopedilum,,,1,
97,Paphiopedilum Lippenwunder,Paphiopedilum,,,1,
98,Paphiopedilum Hybrid III,Paphiopedilum,,,1,
99,Paphiopedilum king arthur,Paphiopedilum,,,1,
100,Cymbidium Hybrid,Cymbidium,,,1,
101,Cymbidium Mainau,Cymbidium,,,2,
103,Cymbidium ice cascade,Cymbidium,,,1,
105,Miltonia Goodale Moir,Miltonia,,,3,
107,Coelogyne mooreana x ochracea,Coelogyne,,,1,
109,Bifrenaria harrisoniae,Bifrenaria,,,1,
110,Epidendrum citrate,Epidendrum,,,1,
111,Cattleya warscewiczii,Cattleya,,,1,
112,Rhyncholaelia digbyana,Rhyncholaelia,,,1,
113,Phragmipedium grande,Phragmipedium,,,1,
114,Paphiopedilum William Trelease,Paphiopedilum,,,1,
115,Bulbophyllum lepidum,Bulbophyllum,,,1,
116,Guzmania sanguinea,Bromelie,,,1,
117,Marcgravia sintenisii,Rankpflanze,,,1,
118,Microsorum thailandicum,Farn,,,1,
119,Restrepia trichoglossa,Restrepia,,,1,
120,Vittaria lineata,Farn,,,1,
121,Tillandsia andreana,Tillandsia,,,1,
122,Aechmea gamosepala,Bromelie,,,1,
123,Monnierara Millennium Magic Witchcraft AM/AOS,Catasetum,,,1,
124,Cycnoches TIDC Purple Frilled Lizard Organe Coffee,Catasetum,,,1,
125,Coelogyne speciosa,Coelogyne,,,1,
126,Phalaenopsis tetraspis C2,Phalaenopsis,,,1,
127,Tolumnia Mocha Dot,Tolumnia,,,1,
128,Tolumnia Golden Fan,Tolumnia,,,1,
129,Oncidium forbesii,Oncidium,,,1,
130,Cattleya labiata,Cattleya,,,1,
131,Laelia grandis,Laelia,,,1,
132,Tolumnia scandens,Tolumnia,,,1,
133,Chysis limminghei,Chysis,,,1,
134,Dendrobium Dragon Jade No.1,Dendrobium,,,1,
135,Catasetum saccatum,Catasetum,,,1,
136,Fredclarkeara After Dark 'SVO Black Pearl' FCC/AOS,Catasetum,,,1,
137,Cattleya schilleriana,Cattleya,,,1,
138,Paraphalaenopsis labukensis,Phalaenopsis,,,1,
139,Phalaenopsis lueddemanniana,Phalaenopsis,,,1,
140,Ascocentrum miniatutum,Vanda,,,1,
141,Cattleya lueddemanniana,Cattleya,,,1,
142,Vanda tricolor var. suavis,Vanda,,,1,
143,Cycnodes Taiwan Gold 'Orange',Catasetum,,,1,
145,Renanthera monachica,Vanda,Glas,,1,
146,Beallara Patricia Mc Cully,Beallara,,,1,
147,Phalaenopsis lueddemaniana,Phalaenopsis,,,1,
148,Phalaenopsis pulchra,Phalaenopsis,,,1,
149,Phalaenopsis stuartiana,Phalaenopsis,,,1,
150,Coelogyne usitana x merilli,,,,1,
151,Cattleya leopoldii,Cattleya,,,1,
152,Cattleya lueddemaniana,Cattleya,,,1,
153,Cattleya trianae,Cattleya,,,1,
154,Barkeria spectabilis,Barkeria,,,1,
